annee;UAI;libelle;region;dont_apprentis_eple;taux_poursuite_etudes;taux_emploi_6_mois;taux_emploi_6_mois_attendu;va_emploi_6_mois;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
cumul 2018-2019;0594404S;Lycée professionnel René Cassin;HAUTS-DE-FRANCE;dont élèves en voie pro sco;39.0;20.0;25.0;-5.0;35.0;37.0;30.0;;;
cumul 2018-2019;0594653M;Lycée professionnel André Jurénil;HAUTS-DE-FRANCE;ensemble;54.0;17.0;22.0;-6.0;29.0;32.0;37.0;;;
cumul 2018-2019;0595480L;Lycée professionnel Ile Jeanty;HAUTS-DE-FRANCE;ensemble;46.0;22.0;28.0;-5.0;32.0;33.0;40.0;;;
cumul 2018-2019;0595678B;Lycée professionnel Léonard de Vinci;HAUTS-DE-FRANCE;ensemble;41.0;31.0;25.0;5.0;34.0;36.0;39.0;;;
cumul 2018-2019;0595856V;Lycée professionnel de L'Yser;HAUTS-DE-FRANCE;ensemble;49.0;22.0;25.0;-3.0;27.0;36.0;42.0;;;
cumul 2018-2019;0595894L;Lycée professionnel François Rabelais;HAUTS-DE-FRANCE;ensemble;50.0;25.0;29.0;-5.0;31.0;34.0;41.0;;;
cumul 2018-2019;0595894L;Lycée professionnel François Rabelais;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0596925G;Lycée polyvalent Charlotte Perriand;HAUTS-DE-FRANCE;ensemble;51.0;44.0;32.0;11.0;48.0;56.0;58.0;;;
cumul 2018-2019;0600002B;Lycée polyvalent Paul Langevin - Lycée des métiers de l'industrie et du génie civil;HAUTS-DE-FRANCE;dont élèves en voie pro sco;54.0;42.0;42.0;0.0;57.0;54.0;61.0;;;
cumul 2018-2019;0600003C;Lycée professionnel Jean-Baptiste Corot - Lycée des métiers de l'habitat et du commerce;HAUTS-DE-FRANCE;dont apprentis;17.0;42.0;54.0;-12.0;58.0;58.0;71.0;;;
cumul 2018-2019;0600013N;Lycée général et technologique Cassini;HAUTS-DE-FRANCE;ensemble;36.0;52.0;63.0;-11.0;53.0;57.0;62.0;;;
cumul 2018-2019;0600017T;Lycée professionnel mixte M.Grenet;HAUTS-DE-FRANCE;ensemble;48.0;23.0;30.0;-7.0;34.0;40.0;52.0;;;
